competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,mother_company,big_brand
100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,0.67,Ferrero SpA,1
3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,0.676,"Mars, Inc.",1
One dime,0,0,0,0,0,0,0,0,0,0.011,0.116,0.323,Unknown,0
One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,0.461,Unknown,0
Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,0.523,Perfetti Van Melle,0
Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,0.503,Hershey's,1
Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,0.569,Ferrero SpA,1
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,0.234,Ferrero SpA,1
Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,0.38,Ferrero SpA,1
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,0.345,Tootsie Roll Industries,1
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,0.39,Tootsie Roll Industries,1
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0.36,Ferrero SpA,1
Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,0.245,Mondelez International,1
Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0.423,Tootsie Roll Industries,1
Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,0.395,Spangler Candy Company,0
Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,0.431,Tootsie Roll Industries,1
Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,0.392,Ferrero SpA,1
Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,0.468,Ferrero SpA,1
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,0.571,Haribo,1
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,0.342,Haribo,1
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,0.514,Haribo,1
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,0.422,Haribo,1
Hershey's Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,0.554,Hershey's,1
Hershey's Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,0.623,Hershey's,1
Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,0.565,Hershey's,1
Hershey's Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,0.592,Hershey's,1
Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,0.281,Ferrero SpA,1
Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,0.572,Tootsie Roll Industries,1
Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,0.768,Nestlé,1
Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,0.414,Ferrero SpA,1
Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,0.391,Ferrero SpA,1
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,0.529,"Mars, Inc.",1
Peanut butter M&M's,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,0.715,"Mars, Inc.",1
M&M's,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,0.666,"Mars, Inc.",1
Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,0.464,Just Born,0
Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,0.551,Hershey's,1
Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,0.731,"Mars, Inc.",1
Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,0.608,"Mars, Inc.",1
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,0.644,"Mars, Inc.",1
Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,0.478,Hershey's,1
Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,0.545,Hershey's,1
Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,0.554,Ferrero SpA,1
Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,0.707,Nestlé,1
Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,0.665,Nestlé,1
Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,0.224,Tootsie Roll Industries,1
Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,0.394,Ferrero SpA,1
Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,0.463,Hershey's,1
